2024-08-06T16:55:02.305+08:00  INFO 6652 --- [main] c.m.c.SocketTransferServerApplication    : Starting SocketTransferServerApplication using Java 17.0.9 with PID 6652 (D:\working-space\Git\Java\SocketTransferServer\target\classes started by WangYunwei in D:\working-space\Git\Java\SocketTransferServer)
2024-08-06T16:55:02.307+08:00  INFO 6652 --- [main] c.m.c.SocketTransferServerApplication    : The following 1 profile is active: "linux"
2024-08-06T16:55:03.086+08:00  INFO 6652 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=68756dd3-13c1-3b76-8e57-42e88c7703ec
2024-08-06T16:55:03.315+08:00  INFO 6652 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 20240 (http)
2024-08-06T16:55:03.324+08:00  INFO 6652 --- [main] o.a.coyote.http11.Http11NioProtocol      : Initializing ProtocolHandler ["http-nio-20240"]
2024-08-06T16:55:03.325+08:00  INFO 6652 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-08-06T16:55:03.325+08:00  INFO 6652 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-08-06T16:55:03.413+08:00  INFO 6652 --- [main] o.a.c.c.C.[.[.[/socket-transfer-server]  : Initializing Spring embedded WebApplicationContext
2024-08-06T16:55:03.413+08:00  INFO 6652 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1054 ms
2024-08-06T16:55:04.305+08:00  INFO 6652 --- [main] o.a.coyote.http11.Http11NioProtocol      : Starting ProtocolHandler ["http-nio-20240"]
2024-08-06T16:55:04.314+08:00  INFO 6652 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 20240 (http) with context path '/socket-transfer-server'
2024-08-06T16:55:04.446+08:00  INFO 6652 --- [main] c.m.c.SocketTransferServerApplication    : Started SocketTransferServerApplication in 2.846 seconds (process running for 3.453)
2024-08-06T16:55:04.447+08:00  INFO 6652 --- [main] c.m.c.SocketTransferServerApplication    : ================== 【START-UP SUCCESSFUL】 ==================
2024-08-06T16:55:04.548+08:00  INFO 6652 --- [main] c.m.c.c.a.service.Impl.AuthServiceImpl   : 项目启动后直接调用 getToken!
2024-08-06T16:55:04.563+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.socket.SocketClient     : 连接成功,开始发送注册请求! <<< 192.168.0.222:13002
2024-08-06T16:55:04.697+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0x01
2024-08-06T16:55:04.879+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:04.933+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.107+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.154+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA8
2024-08-06T16:55:05.267+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.401+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.537+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.758+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.770+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA8
2024-08-06T16:55:05.834+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
2024-08-06T16:55:05.890+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0x0C
2024-08-06T16:55:06.007+08:00  INFO 6652 --- [nioEventLoopGroup-2-1] c.m.c.c.transfer.TransferService         : SocketClient_Instruct <<< 0xA9
